Strain [-]	Stress [MPa]
	
	
0		0
0.00019323	7.90919
0.00031299	11.86972
0.000422244	15.64564
0.000544104	19.69007
0.000750006	25.59729
0.000905483	30.1284
0.001123991	35.63286
0.001462258	42.59733
0.001739596	47.71581
0.002224936	52.4483
0.00302123	56.99619
0.003529682	58.05344
0.004025527	56.40882
0.004412118	53.32096
0.004605414	49.84711
0.004836528	44.52725
0.004956288	39.79476
0.00522312	33.80363
0.005487851	29.07114
0.006		23.72611
0.007		18.498554
0.008		13.270998
0.009		8.043442
0.01		2.815886
